ruleKey;remediationFunction;remediationFactor
org.codenarc.rule.basic.AssertWithinFinallyBlockRule;linear;20min
org.codenarc.rule.basic.AssignmentInConditionalRule;linear;5min
org.codenarc.rule.basic.BigDecimalInstantiationRule;linear;10min
org.codenarc.rule.basic.BitwiseOperatorInConditionalRule;linear;10min
org.codenarc.rule.basic.BooleanGetBooleanRule;linear;10min
org.codenarc.rule.basic.BrokenNullCheckRule;linear;10min
org.codenarc.rule.basic.BrokenOddnessCheckRule;linear;10min
org.codenarc.rule.basic.ClassForNameRule;linear;1h
org.codenarc.rule.basic.ComparisonOfTwoConstantsRule;linear;5min
org.codenarc.rule.basic.ComparisonWithSelfRule;linear;10min
org.codenarc.rule.basic.ConstantAssertExpressionRule;linear;10min
org.codenarc.rule.basic.ConstantIfExpressionRule;linear;10min
org.codenarc.rule.basic.ConstantTernaryExpressionRule;linear;10min
org.codenarc.rule.basic.DeadCodeRule;linear;10min
org.codenarc.rule.basic.DoubleNegativeRule;linear;10min
org.codenarc.rule.basic.DuplicateCaseStatementRule;linear;10min
org.codenarc.rule.basic.DuplicateMapKeyRule;linear;5min
org.codenarc.rule.basic.DuplicateSetValueRule;linear;5min
org.codenarc.rule.basic.EmptyCatchBlockRule;linear;5min
org.codenarc.rule.basic.EmptyClassRule;linear;10min
org.codenarc.rule.basic.EmptyElseBlockRule;linear;10min
org.codenarc.rule.basic.EmptyFinallyBlockRule;linear;10min
org.codenarc.rule.basic.EmptyForStatementRule;linear;10min
org.codenarc.rule.basic.EmptyIfStatementRule;linear;10min
org.codenarc.rule.basic.EmptyInstanceInitializerRule;linear;10min
org.codenarc.rule.basic.EmptyMethodRule;linear;10min
org.codenarc.rule.basic.EmptyStaticInitializerRule;linear;10min
org.codenarc.rule.basic.EmptySwitchStatementRule;linear;10min
org.codenarc.rule.basic.EmptySynchronizedStatementRule;linear;10min
org.codenarc.rule.basic.EmptyTryBlockRule;linear;10min
org.codenarc.rule.basic.EmptyWhileStatementRule;linear;10min
org.codenarc.rule.basic.EqualsAndHashCodeRule;linear;10min
org.codenarc.rule.basic.EqualsOverloadedRule;linear;10min
org.codenarc.rule.basic.ExplicitGarbageCollectionRule;linear;1h
org.codenarc.rule.basic.ForLoopShouldBeWhileLoopRule;linear;10min
org.codenarc.rule.basic.HardCodedWindowsFileSeparatorRule;linear;10min
org.codenarc.rule.basic.HardCodedWindowsRootDirectoryRule;linear;10min
org.codenarc.rule.basic.IntegerGetIntegerRule;linear;20min
org.codenarc.rule.basic.MultipleUnaryOperatorsRule;linear;5min
org.codenarc.rule.basic.ParameterAssignmentInFilterClosureRule;linear;5min
org.codenarc.rule.basic.RandomDoubleCoercedToZeroRule;linear;20min
org.codenarc.rule.basic.RemoveAllOnSelfRule;linear;10min
org.codenarc.rule.basic.ReturnFromFinallyBlockRule;linear;20min
org.codenarc.rule.basic.ThrowExceptionFromFinallyBlockRule;linear;20min
org.codenarc.rule.braces.ElseBlockBracesRule;linear;5min
org.codenarc.rule.braces.ForStatementBracesRule;linear;5min
org.codenarc.rule.braces.IfStatementBracesRule;linear;5min
org.codenarc.rule.braces.WhileStatementBracesRule;linear;5min
org.codenarc.rule.comments.ClassJavadocRule;linear;5min
org.codenarc.rule.comments.JavadocConsecutiveEmptyLinesRule;linear;5min
org.codenarc.rule.comments.JavadocEmptyAuthorTagRule;linear;5min
org.codenarc.rule.comments.JavadocEmptyExceptionTagRule;linear;5min
org.codenarc.rule.comments.JavadocEmptyFirstLineRule;linear;5min
